date,date,txtotpositive,txdailynew,txneg,txtottests,txdailytests,txinhosp,txrecov,tx7dayavgnew,tx7daytests,tx21daytotnew,txposrate,tx7dayposrate,tx7daygrowthrate,travistotpositive,travisdailynew,travisinhosp,travisrecov,travis7dayavgnew,travis21daytotnew,travis7daygrowthrate,travis co pct
1,2020-03-04,1,,,,,0,,,,,,,,0,0,0,,,,,
2,2020-03-05,1,0,,,,,,,,,,,,0,0,,,,,,
3,2020-03-06,5,4,,,,,,,,,,,,0,0,,,,,,
4,2020-03-07,8,3,,,,,,,,,,,,0,0,,,,,,
5,2020-03-08,8,0,,,,,,,,,,,,0,0,,,,,,
6,2020-03-09,12,4,,,,,,,,,,,,0,0,,,,,,
7,2020-03-10,13,1,,,,,,2,,,,,,0,0,,,,,,
8,2020-03-11,21,8,,,,,,3,,,,,0.54486,0,0,,,0,,,
9,2020-03-12,23,2,,,,,,3,,,,,0.56507,0,0,,,0,,,
10,2020-03-13,39,16,,,,,,5,,,,,0.34104,2,2,,,0,,0.05128,
11,2020-03-14,51,12,,,,,,6,,,,,0.30294,3,1,,,0,,0.05882,
12,2020-03-15,56,5,,,,,,7,,,,,0.32047,5,2,,,1,,0.08929,
13,2020-03-16,57,1,,,,,,6,,,,,0.24931,6,1,,,1,,0.10526,
14,2020-03-17,64,7,1204,1268,1268,,,7,,,0.05047,,0.25571,17,11,,,2,,0.26563,
15,2020-03-18,83,19,1824,1907,639,,,9,,,0.04352,,0.21693,23,6,,,3,,0.27711,
16,2020-03-19,143,60,2212,2355,448,,,17,,,0.06072,,0.29829,41,18,,,6,,0.28671,
17,2020-03-20,194,51,5083,5277,2922,,,22,,,0.03676,,0.25757,58,17,,,8,,0.29897,0.61776
18,2020-03-21,304,110,6218,6522,1245,,,36,,,0.04661,,0.29050,73,15,,,10,,0.24013,0.57772
19,2020-03-22,334,30,8422,8756,2234,,,40,,,0.03815,,0.29061,91,18,,,12,,0.27246,0.51360
20,2020-03-23,352,18,9703,10055,1299,,,42,1436,,0.03501,0.02934,0.29704,100,9,,,13,,0.28409,0.49469
21,2020-03-24,410,58,10757,11167,1112,,,49,1414,409,0.03672,0.03495,0.30385,113,13,,,14,113,0.27561,0.31075
22,2020-03-25,974,564,12261,13235,2068,,,127,1618,973,0.07359,0.07865,0.42162,119,6,,,14,119,0.12218,0.26466
23,2020-03-26,1396,422,20028,21424,8189,,,179,2724,1395,0.06516,0.06571,0.38473,137,18,,,14,137,0.09814,0.18809
24,2020-03-27,1659,263,22007,23666,2242,,,209,2627,1654,0.07010,0.07967,0.35878,160,23,,,15,160,0.09644,0.15600
25,2020-03-28,2052,393,23208,25260,1594,,,250,2677,2044,0.08124,0.09329,0.31363,179,19,,,15,179,0.08723,0.13670
26,2020-03-29,2552,500,22931,25483,223,,,317,2390,2544,0.10015,0.13260,0.33709,200,21,,,16,200,0.07837,0.11907
27,2020-03-30,2877,325,33003,35880,10397,,,361,3689,2865,0.08018,0.09777,0.35003,206,6,,,15,206,0.07160,0.10876
28,2020-03-31,3266,389,39726,42992,7112,,,408,4546,3253,0.07597,0.08974,0.34508,244,38,,,19,244,0.07471,0.11624
29,2020-04-01,3997,731,43860,47857,4865,,,432,4946,3976,0.08352,0.08731,0.22348,305,61,,,27,305,0.07631,0.14391
30,2020-04-02,4669,672,46010,50679,2822,,,468,4179,4646,0.09213,0.11188,0.18824,351,46,,,31,351,0.07518,0.14385
31,2020-04-03,5330,661,50434,55764,5085,,,524,4585,5291,0.09558,0.11437,0.18144,430,79,,,39,428,0.08068,0.15169
32,2020-04-04,6110,780,57641,63751,7987,,,580,5499,6059,0.09584,0.10543,0.16868,460,30,,,40,457,0.07529,0.14435
33,2020-04-05,6812,702,64126,70938,7187,,,609,6494,6756,0.09603,0.09372,0.15057,484,24,,,41,479,0.07105,0.13457
34,2020-04-06,7276,464,78081,85357,14419,1153,,628,7068,7219,0.08524,0.08891,0.14173,502,18,,,42,496,0.06899,0.13570
35,2020-04-07,8262,986,80387,88649,3292,1252,,714,6522,8198,0.09320,0.10942,0.14178,554,52,,,44,537,0.06705,0.12428
